GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2_Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0003396	129	121	8.1772	7.6349	-0.098997665	0.660041805	0.811981044	no
Unigene0003397	172	356	11.016	22.6959	1.042831235	2.62E-15	2.36E-14	yes
Unigene0003398	45	21	7.8669	3.6543	-1.106200168	0.004335131	0.012162287	yes
Unigene0003399	45	19	7.9418	3.3378	-1.250568518	0.001589523	0.004895102	yes
Unigene0003400	11	4	2.6473	0.9582	-1.466122976	0.118606691	0.216080529	no
Unigene0003401	142	238	6.8526	11.4325	0.738417538	1.22E-06	5.94E-06	no
Unigene0003402	16	20	1.6114	2.005	0.315287576	0.618037957	0.774793598	no
Unigene0003403	24	12	3.2306	1.6079	-1.006624449	0.065485806	0.130574168	no
Unigene0003404	5	19	0.6289	2.3787	1.919270791	0.006642077	0.01788227	yes
Unigene0003405	6	0	1.0424	0.001	-10.02569327	0.03127344	0.069386062	no
Unigene0003406	68	5	5.7803	0.4231	-3.77207378	3.78E-15	3.37E-14	yes
Unigene0003407	772	856	26.9075	29.6982	0.142367137	0.059687113	0.12190569	no
Unigene0003408	897	525	23.1614	13.4937	-0.779436468	5.45E-22	6.46E-21	no
Unigene0003409	104	2830	1.2905	34.9562	4.759546315	0	0	yes
Unigene0003410	6	103	0.7007	11.9742	4.094988566	8.34E-24	1.05E-22	yes
Unigene0003411	5833	4992	178.1712	151.7817	-0.231266297	2.00E-11	1.45E-10	no
Unigene0003412	243	618	7.7638	19.6542	1.340002783	1.48E-36	2.61E-35	yes
Unigene0003413	465	475	11.4942	11.6875	0.024060307	0.823449267	0.945240252	no
Unigene0003414	353	222	7.0187	4.3937	-0.675767474	5.00E-08	2.79E-07	no
Unigene0003415	632	839	26.3377	34.8035	0.402103033	3.55E-07	1.84E-06	no
Unigene0003416	411	276	26.1425	17.4749	-0.581112912	3.08E-07	1.60E-06	no
Unigene0003417	0	3	0.001	0.6804	9.410239331	0.250037498	0.39084956	no
Unigene0003418	2020	3601	44.2812	78.5761	0.827396245	3.15E-79	1.13E-77	no
Unigene0003419	152	43	16.8664	4.7495	-1.828304527	2.42E-15	2.18E-14	yes
Unigene0003420	11	6	1.7323	0.9406	-0.881035561	0.332513547	0.491365512	no
Unigene0003421	58	38	8.6213	5.6225	-0.616693673	0.052472021	0.108902252	no
Unigene0003422	5528	5276	136.2216	129.4142	-0.073959557	0.032443413	0.07174605	no
Unigene0003423	380	498	15.1544	19.7689	0.383495864	0.000142443	0.000530415	no
Unigene0003424	7	17	1.2393	2.996	1.273512158	0.064072491	0.128641134	no
Unigene0003425	19	11	4.2591	2.4545	-0.795119437	0.200826576	0.330387481	no
Unigene0003426	4137	3684	57.0403	50.561	-0.173956572	6.49E-06	2.91E-05	no
Unigene0003427	0	35	0.001	2.3794	11.21638211	6.00E-11	4.20E-10	yes
Unigene0003428	0	22	0.001	4.0312	11.97699365	4.82E-07	2.46E-06	yes
Unigene0003429	9	4	1.9544	0.8646	-1.176621027	0.267002764	0.411535972	no
Unigene0003430	53	33	7.4782	4.6348	-0.69018397	0.040278906	0.086281088	no
Unigene0003431	11	8	2.5912	1.8758	-0.466114359	0.64776437	0.799338824	no
Unigene0003432	45	24	3.4176	1.8143	-0.913570523	0.015608488	0.037903988	no
Unigene0003433	18	22	1.9024	2.3145	0.282879942	0.636167827	0.788657946	no
Unigene0003434	0	27	0.001	2.6444	11.3687247	1.52E-08	8.82E-08	yes
Unigene0003435	19	2	3.4073	0.357	-3.254632998	0.000222778	0.000804051	yes
Unigene0003436	56	34	4.3239	2.6131	-0.726570822	0.026638572	0.060843983	no
Unigene0003437	33	17	3.6838	1.889	-0.963572035	0.033055812	0.073001359	no
Unigene0003440	54	85	3.5111	5.5013	0.647849493	0.010950439	0.027864335	no
Unigene0003441	1	0	0.1716	0.001	-7.422905743	1	1	no
Unigene0003443	1454	1868	22.1639	28.3438	0.354821428	6.26E-11	4.38E-10	no
Unigene0003444	139	148	14.6629	15.5406	0.08387174	0.639239115	0.792139349	no
Unigene0003445	18	12	2.4954	1.656	-0.591568418	0.361956807	0.525765999	no
Unigene0003446	0	1	0.001	0.212	7.727920455	1	1	no
Unigene0003447	7	8	0.9538	1.085	0.185936355	1	1	no
Unigene0003448	70	59	7.6604	6.4269	-0.253296702	0.380222175	0.546418469	no
Unigene0003450	17	15	2.6547	2.3316	-0.187228529	0.860161894	0.97531868	no
Unigene0003451	19	15	3.3426	2.6268	-0.347664361	0.607898898	0.764506432	no
Unigene0003452	67	98	5.0815	7.3984	0.541958876	0.01974038	0.04676231	no
Unigene0003453	12	10	1.5093	1.252	-0.269645033	0.831904334	0.951807084	no
Unigene0003454	0	20	0.001	1.8384	10.84423499	1.93E-06	9.16E-06	yes
Unigene0003456	16	4	2.3656	0.5887	-2.006601616	0.011858624	0.029789991	yes
Unigene0003457	13	2	1.7005	0.2604	-2.707157652	0.007406097	0.019686068	yes
Unigene0003458	7	5	1.2759	0.9072	-0.492022715	0.77448171	0.906560631	no
Unigene0003459	111	103	6.1646	5.694	-0.114564793	0.634200647	0.786916918	no
Unigene0003460	43	18	2.6531	1.1055	-1.262980029	0.001897611	0.005760963	yes
Unigene0003461	115	42	24.684	8.9736	-1.459817418	5.54E-09	3.35E-08	yes
