id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS12T0106525-00	12	17	0.24	0.37	0.624490865	0.361956807	0.519873097	no
OS12T0106550-01	44	81	1.4	2.79	0.994838295	0.000240459	0.000849007	no
OS12T0106600-01	228	202	4.26	4.07	-0.065824636	0.66766443	0.813195764	no
OS12T0106700-01	173	195	3.72	4.52	0.281020151	0.079307514	0.151324619	no
OS12T0106801-00	5	0	9.98	0.001	-13.2848241	0.062531251	0.123993256	no
OS12T0106900-01	619	491	18.41	15.79	-0.221478455	0.010918149	0.027339469	no
OS12T0106900-02	309	267	13.47	12.62	-0.09403794	0.410917885	0.57283086	no
OS12T0107300-01	54	61	0.96	1.17	0.285402219	0.352508277	0.509651427	no
OS12T0107500-01	86	83	4.85	5.09	0.069680909	0.878300031	0.992941915	no
OS12T0107700-00	10	23	0.16	0.39	1.285402219	0.024425681	0.055176491	no
OS12T0108000-01	7	18	0.14	0.38	1.440572591	0.029061761	0.064451991	no
OS12T0108100-01	648	501	9.93	8.28	-0.26216295	0.002540683	0.007390042	no
OS12T0108200-01	89	107	2.26	2.93	0.374577892	0.088574756	0.166838193	no
OS12T0108350-00	0	3	0.001	0.08	6.321928095	0.250037498	0.384983395	no
OS12T0108500-01	171	94	2.57	1.52	-0.757697036	3.82E-05	0.000153098	no
OS12T0108550-00	1	0	0.02	0.001	-4.321928095	1	1	no
OS12T0108600-00	80	41	1.96	1.08	-0.859822342	0.002520419	0.007339204	no
OS12T0109150-00	2	0	0.07	0.001	-6.129283017	0.500024999	0.653216704	no
OS12T0109200-01	6	9	0.2	0.33	0.722466024	0.607376167	0.760828361	no
OS12T0109300-01	34	47	0.52	0.78	0.584962501	0.097714703	0.18102143	no
OS12T0109600-01	95	86	2.3	2.25	-0.03170886	0.882404101	0.996536517	no
OS12T0109633-00	5	8	0.15	0.25	0.736965594	0.581180318	0.735139783	no
OS12T0109700-01	83	33	2.14	0.92	-1.21790503	3.46E-05	0.000139252	down
OS12T0109750-00	0	2	0.001	0.06	5.906890596	0.500024999	0.653216704	no
OS12T0109800-00	3	3	0.05	0.05	0	1	1	no
OS12T0109900-01	39	68	0.87	1.63	0.905784658	0.001891927	0.005659909	no
OS12T0109900-02	75	49	1.66	1.17	-0.504674712	0.059659428	0.120101316	no
OS12T0110000-00	502	391	3.98	3.34	-0.252920328	0.010521094	0.026442952	no
OS12T0110050-00	28	22	2.43	2.09	-0.217453372	0.672199	0.817752747	no
OS12T0110100-01	159	101	2.82	1.93	-0.547094315	0.002966812	0.008521341	no
OS12T0110150-00	0	1	0.001	0.05	5.64385619	1	1	no
OS12T0110200-01	2	2	0.05	0.05	0	1	1	no
OS12T0110300-01	460	609	14.47	20.72	0.517959081	2.42E-08	1.41E-07	no
OS12T0110400-01	249	269	8.02	9.37	0.224446811	0.099504309	0.183748242	no
OS12T0110475-01	1	0	0.03	0.001	-4.906890596	1	1	no
OS12T0110700-00	63	41	2.55	1.8	-0.502500341	0.095902	0.178415939	no
OS12T0111000-01	7	6	0.16	0.15	-0.093109404	1	1	no
OS12T0111400-01	0	2	0.001	0.22	7.781359714	0.500024999	0.653216704	no
OS12T0111500-02	498	328	20.57	14.68	-0.486689826	1.63E-06	7.85E-06	no
OS12T0111600-01	439	518	35.61	45.9	0.366211718	0.000404933	0.001372612	no
OS12T0111800-00	26	6	0.98	0.24	-2.029747343	0.000885647	0.002829405	down
OS12T0111900-00	1	0	0.23	0.001	-7.845490051	1	1	no
OS12T0112000-01	199	78	6.23	2.64	-1.238694234	2.38E-11	1.79E-10	down
OS12T0112200-01	669	865	27.13	38	0.486110371	7.30E-10	4.91E-09	no
OS12T0112300-01	41	25	0.8	0.52	-0.621488377	0.109439672	0.199198681	no
OS12T0112401-00	6	5	0.23	0.21	-0.131244533	1	1	no
OS12T0112500-01	61	76	1.41	1.9	0.430304256	0.106654164	0.195331518	no
OS12T0112600-01	1041	1170	11.8	14.28	0.27520912	2.74E-05	0.000111948	no
OS12T0112800-00	7	5	1.66	1.33	-0.319756996	0.77448171	0.904205546	no
OS12T0113001-00	6	4	0.58	0.43	-0.43171624	0.753967752	0.886551381	no
OS12T0113500-01	851	1136	15.95	22.97	0.526194433	2.41E-14	2.21E-13	no
OS12T0113500-02	737	999	15.15	22.16	0.548640088	7.96E-14	7.03E-13	no
OS12T0113600-01	10	18	0.56	1.09	0.960829403	0.136329417	0.236337874	no
OS12T0113700-00	3	3	0.26	0.28	0.106915204	1	1	no
OS12T0113900-01	10	4	0.25	0.11	-1.184424571	0.17971814	0.2982639	no
