sampleID	BRCA1	BRCA2
GTEX-XUW1-2326-SM-4BOO5	0.182984967	-0.390725828
GTEX-XUZC-1626-SM-4BRVP	-0.066968505	-0.232324776
GTEX-XV7Q-2326-SM-4BRVZ	0.081347308	-0.760200182
GTEX-XYKS-1326-SM-4BRUN	0.135132651	-0.845271793
GTEX-Y111-2026-SM-4SOJA	0.145507171	-0.570409198
GTEX-Y114-2026-SM-4TT7L	-0.080869586	-0.403732874
GTEX-Y3I4-1526-SM-4TT7K	0.243781916	-0.234033575
GTEX-Y3IK-2326-SM-4WWDT	0.27989498	-0.300248968
GTEX-Y5LM-1726-SM-4VDSX	0.128076013	-0.37069236
GTEX-Y5V5-2126-SM-4WWFO	0.369401414	-0.275314612
GTEX-Y5V6-2126-SM-4WWFX	0.329194415	-0.25111456
GTEX-Y8E4-1626-SM-5S2MW	-0.055665408	-0.951558196
GTEX-Y8LW-1626-SM-5IFHX	0.003546693	-0.348140731
GTEX-Y9LG-1426-SM-5IFJZ	-0.128894299	-0.533725678
GTEX-YB5E-1726-SM-5IFJ3	-0.308211476	-0.793443956
GTEX-YB5K-1626-SM-5IFIN	-0.058687375	-0.719194072
GTEX-YEC3-1026-SM-5IFI5	0.109240969	-0.57642648
GTEX-YFC4-1426-SM-5IFJG	0.494571984	-0.147093241
GTEX-YFCO-1826-SM-4W1YH	0.213252052	-0.732593581
GTEX-YJ8O-2226-SM-5IFHW	0.33725954	-0.44648106
GTEX-ZA64-1526-SM-5CVMD	-0.030258023	-0.58686795
GTEX-ZAB4-2526-SM-5HL8M	0.128076013	-0.466863712
GTEX-ZAJG-0626-SM-5HL8X	0.000650954	-0.320027306
GTEX-ZC5H-2626-SM-5J2MG	0.349471799	-0.233512794
GTEX-ZDTT-2126-SM-5S2OJ	0.227115083	-0.492548939
GTEX-ZDXO-0126-SM-5S2ND	0.265053789	-0.963291278
GTEX-ZDYS-1126-SM-5K7UB	0.108226656	-0.754487332
GTEX-ZEX8-2226-SM-57WC6	0.255513713	-0.283078927
GTEX-ZF29-1926-SM-5S2P1	0.24278981	0.012837225
GTEX-ZF2S-2026-SM-5E461	0.447158031	-0.041388342
GTEX-ZF3C-2326-SM-5S2MZ	0.148910993	-0.250263684
GTEX-ZLFU-2126-SM-4WWEV	-0.344381417	-0.811071516
GTEX-ZLV1-1426-SM-4WWES	0.184975191	-0.404834585
GTEX-ZPIC-1126-SM-5BC7F	0.319522449	-0.340559218
GTEX-ZQG8-0726-SM-5P9H9	0.048830087	-0.757458572
GTEX-ZQUD-1926-SM-51MSA	-0.036873559	-0.796423225
GTEX-ZT9W-2026-SM-51MRA	-0.233215485	-1.017231423
GTEX-ZTTD-1026-SM-51MRD	0.122543524	-0.64320954
GTEX-ZTX8-1226-SM-4YCE9	0.190891717	-0.553618188
GTEX-ZU9S-1926-SM-5NQBP	0.190051418	-0.286089646
GTEX-ZUA1-1526-SM-59HLS	0.214578954	-0.478469659
GTEX-ZV6S-1826-SM-5NQ8D	0.08170727	-0.416914634
GTEX-ZV7C-1826-SM-5NQ83	0.161966616	-0.289628736
GTEX-ZVE2-1226-SM-5NQ8R	0.356025857	-0.336864685
GTEX-ZVT2-1826-SM-5NQ8W	-0.012065735	-0.48624985
GTEX-ZVT4-1026-SM-57WC4	-0.16806627	-0.265520211
GTEX-ZVTK-0326-SM-51MRR	0.231724383	-0.456056058
GTEX-ZVZQ-0826-SM-51MRF	0.006893708	-0.361410917
GTEX-ZWKS-2826-SM-5NQ74	0.116607744	-0.281498311
GTEX-ZXES-0826-SM-5E43C	0.114277297	-0.078209514
GTEX-ZY6K-1626-SM-5GZWV	-0.01014989	-0.40164729
GTEX-ZYFC-0826-SM-5E44K	0.203848464	-0.448672012
GTEX-ZYT6-0126-SM-5E45J	0.145196406	-0.751536282
GTEX-ZYW4-0826-SM-5GIDG	-0.175809059	-0.598944274
GTEX-ZZ64-1226-SM-5E43R	-0.076186279	-0.914352712
GTEX-ZZPU-0626-SM-5E43T	0.235275877	-0.25111456
